INFO 2025-09-05 15:52:55,207 basehttp 16672 10884 "GET /api/admin/recent-activity/ HTTP/1.1" 200 976
INFO 2025-09-05 15:52:55,256 basehttp 16672 344 "GET /api/admin/recent-activity/ HTTP/1.1" 200 976
INFO 2025-09-05 15:53:00,087 basehttp 16672 344 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:53:00,088 basehttp 16672 10884 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:53:00,117 basehttp 16672 344 "GET /api/notifications/ HTTP/1.1" 200 233
WARNING 2025-09-05 15:53:00,138 log 16672 344 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:53:00,143 basehttp 16672 344 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:53:00,153 basehttp 16672 10884 "GET /api/notifications/ HTTP/1.1" 200 233
INFO 2025-09-05 15:53:00,164 basehttp 16672 344 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
WARNING 2025-09-05 15:53:00,176 log 16672 10884 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:53:00,179 basehttp 16672 10884 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:53:30,605 log 16672 344 Unauthorized: /api/notifications/
INFO 2025-09-05 15:53:30,608 basehttp 16672 10884 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
WARNING 2025-09-05 15:53:30,608 basehttp 16672 344 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:54:00,765 log 16672 344 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:54:00,771 basehttp 16672 344 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:54:00,774 basehttp 16672 10884 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
WARNING 2025-09-05 15:54:30,627 log 16672 344 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:54:30,629 basehttp 16672 344 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:54:30,636 basehttp 16672 10884 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
WARNING 2025-09-05 15:55:00,634 log 16672 344 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:55:00,635 basehttp 16672 344 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:55:00,643 basehttp 16672 10884 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
INFO 2025-09-05 15:55:30,373 autoreload 16672 17004 D:\1 Videos\Ecommerce with admin panel\ecom\shop\views.py changed, reloading.
INFO 2025-09-05 15:55:38,665 autoreload 3800 2396 Watching for file changes with StatReloader
INFO 2025-09-05 15:55:42,502 basehttp 3800 17832 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-05 15:55:42,513 basehttp 3800 17832 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-05 15:55:42,797 basehttp 3800 17832 "POST /api/token/refresh/ HTTP/1.1" 200 486
INFO 2025-09-05 15:55:42,798 basehttp 3800 5796 "POST /api/token/refresh/ HTTP/1.1" 200 486
WARNING 2025-09-05 15:55:42,963 log 3800 17832 Unauthorized: /api/notifications/
INFO 2025-09-05 15:55:42,970 basehttp 3800 10540 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
WARNING 2025-09-05 15:55:42,985 basehttp 3800 17832 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:55:42,982 basehttp 3800 5796 "GET /api/notifications/ HTTP/1.1" 200 233
WARNING 2025-09-05 15:55:43,037 log 3800 17832 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:55:43,169 basehttp 3800 17832 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:55:43,204 basehttp 3800 5796 "GET /api/notifications/ HTTP/1.1" 200 233
INFO 2025-09-05 15:55:59,499 autoreload 3800 2396 D:\1 Videos\Ecommerce with admin panel\ecom\shop\views.py changed, reloading.
INFO 2025-09-05 15:56:04,241 autoreload 7940 3624 Watching for file changes with StatReloader
WARNING 2025-09-05 15:56:14,254 log 7940 17900 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:56:14,260 basehttp 7940 17900 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:56:14,263 basehttp 7940 16136 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
WARNING 2025-09-05 15:56:42,960 log 7940 16136 Unauthorized: /api/notifications/
INFO 2025-09-05 15:56:42,986 basehttp 7940 17900 "GET /api/notifications/unread-count/ HTTP/1.1" 200 11
WARNING 2025-09-05 15:56:42,988 basehttp 7940 16136 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:56:45,488 basehttp 7940 17900 "OPTIONS /api/api/token/verify/ HTTP/1.1" 200 0
INFO 2025-09-05 15:56:45,505 basehttp 7940 16136 "OPTIONS /api/api/token/verify/ HTTP/1.1" 200 0
WARNING 2025-09-05 15:56:45,575 log 7940 17900 Not Found: /api/api/token/verify/
WARNING 2025-09-05 15:56:45,602 log 7940 16136 Not Found: /api/api/token/verify/
WARNING 2025-09-05 15:56:45,603 basehttp 7940 17900 "POST /api/api/token/verify/ HTTP/1.1" 404 16405
WARNING 2025-09-05 15:56:45,618 basehttp 7940 16136 "POST /api/api/token/verify/ HTTP/1.1" 404 16405
INFO 2025-09-05 15:56:45,624 basehttp 7940 17900 "OPTIONS /api/api/token/refresh/ HTTP/1.1" 200 0
WARNING 2025-09-05 15:56:45,678 log 7940 16136 Not Found: /api/api/token/refresh/
WARNING 2025-09-05 15:56:45,704 log 7940 17900 Not Found: /api/api/token/refresh/
WARNING 2025-09-05 15:56:45,762 basehttp 7940 17900 "POST /api/api/token/refresh/ HTTP/1.1" 404 16408
WARNING 2025-09-05 15:56:45,716 basehttp 7940 16136 "POST /api/api/token/refresh/ HTTP/1.1" 404 16408
INFO 2025-09-05 15:56:53,571 basehttp 7940 3136 "POST /api/admin_token/ HTTP/1.1" 200 502
INFO 2025-09-05 15:56:54,708 basehttp 7940 3136 "GET /api/admin/dashboard-stats/ HTTP/1.1" 200 77
